timestamp, temperature.gpu, utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/02/11 11:38:02.347, 80, 100 %, 48 %, 209.01 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:38:03.364, 81, 100 %, 50 %, 223.14 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:38:04.371, 82, 100 %, 52 %, 228.69 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:38:05.381, 82, 100 %, 51 %, 226.31 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:38:06.388, 82, 100 %, 51 %, 218.05 W, 1200 MHz, 877 MHz, P0
2026/02/11 11:38:07.397, 82, 100 %, 47 %, 212.82 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:38:08.406, 82, 100 %, 49 %, 213.29 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:38:09.420, 82, 100 %, 49 %, 208.20 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:38:10.429, 81, 100 %, 50 %, 208.68 W, 1177 MHz, 877 MHz, P0
2026/02/11 11:38:11.437, 82, 100 %, 50 %, 228.21 W, 1177 MHz, 877 MHz, P0
2026/02/11 11:38:12.449, 82, 100 %, 50 %, 207.73 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:38:13.455, 81, 100 %, 48 %, 201.19 W, 1177 MHz, 877 MHz, P0
2026/02/11 11:38:14.470, 81, 100 %, 47 %, 194.52 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:38:15.483, 81, 100 %, 48 %, 207.73 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:38:16.495, 81, 100 %, 49 %, 207.73 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:38:17.502, 81, 100 %, 48 %, 200.72 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:38:18.513, 81, 100 %, 47 %, 201.54 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:38:19.522, 81, 100 %, 49 %, 209.96 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:38:20.531, 81, 100 %, 49 %, 206.30 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:38:21.540, 82, 100 %, 55 %, 233.29 W, 1237 MHz, 877 MHz, P0
2026/02/11 11:38:22.541, 82, 100 %, 47 %, 207.25 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:38:23.554, 82, 100 %, 47 %, 195.48 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:38:24.561, 81, 100 %, 47 %, 207.25 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:38:25.571, 81, 100 %, 49 %, 204.39 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:38:26.581, 81, 100 %, 47 %, 200.72 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:38:27.583, 81, 100 %, 47 %, 207.25 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:38:28.591, 81, 100 %, 47 %, 204.87 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:38:29.603, 81, 100 %, 48 %, 201.19 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:38:30.613, 81, 100 %, 47 %, 198.34 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:38:31.625, 81, 100 %, 48 %, 205.82 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:38:32.630, 82, 100 %, 51 %, 210.92 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:38:33.647, 82, 100 %, 49 %, 200.24 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:38:34.661, 82, 100 %, 48 %, 207.73 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:38:35.702, 81, 100 %, 47 %, 206.30 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:38:36.707, 81, 100 %, 49 %, 206.77 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:38:37.718, 82, 100 %, 50 %, 201.19 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:38:38.732, 82, 100 %, 48 %, 207.73 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:38:39.766, 81, 100 %, 48 %, 201.67 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:38:40.783, 81, 100 %, 48 %, 209.96 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:38:41.801, 81, 100 %, 49 %, 204.39 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:38:42.816, 82, 100 %, 50 %, 220.76 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:38:43.828, 82, 100 %, 47 %, 210.44 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:38:44.836, 82, 100 %, 47 %, 198.81 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:38:45.838, 81, 100 %, 45 %, 203.44 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:38:46.867, 81, 100 %, 47 %, 204.39 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:38:47.872, 81, 100 %, 47 %, 193.57 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:38:48.876, 81, 100 %, 47 %, 205.82 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:38:49.882, 81, 100 %, 47 %, 195.48 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:38:50.885, 81, 100 %, 47 %, 204.87 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:38:51.893, 81, 100 %, 49 %, 196.43 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:38:52.894, 81, 100 %, 47 %, 201.54 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:38:53.897, 79, 100 %, 43 %, 170.20 W, 1027 MHz, 877 MHz, P0
2026/02/11 11:38:54.899, 80, 100 %, 46 %, 195.95 W, 1117 MHz, 877 MHz, P0
2026/02/11 11:38:55.918, 81, 100 %, 50 %, 215.20 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:38:56.922, 81, 100 %, 50 %, 212.82 W, 1177 MHz, 877 MHz, P0
2026/02/11 11:38:57.925, 81, 100 %, 47 %, 204.87 W, 1185 MHz, 877 MHz, P0
2026/02/11 11:38:58.931, 82, 100 %, 47 %, 204.39 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:38:59.935, 81, 100 %, 49 %, 207.73 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:39:00.942, 82, 100 %, 48 %, 213.29 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:39:01.953, 82, 100 %, 49 %, 211.39 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:39:02.963, 81, 100 %, 49 %, 203.10 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:39:03.973, 82, 100 %, 51 %, 228.21 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:39:04.993, 81, 100 %, 47 %, 203.92 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:39:06.010, 81, 100 %, 50 %, 198.81 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:39:07.019, 81, 100 %, 46 %, 207.73 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:39:08.026, 81, 100 %, 48 %, 202.15 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:39:09.037, 81, 100 %, 47 %, 192.27 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:39:10.045, 81, 100 %, 50 %, 205.34 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:39:11.056, 81, 100 %, 46 %, 202.01 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:39:12.067, 81, 100 %, 47 %, 194.65 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:39:13.081, 81, 100 %, 49 %, 206.77 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:39:14.089, 81, 100 %, 47 %, 203.92 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:39:15.099, 82, 100 %, 50 %, 208.68 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:39:16.104, 81, 100 %, 50 %, 195.48 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:39:17.166, 81, 100 %, 47 %, 195.00 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:39:18.173, 81, 100 %, 47 %, 202.01 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:39:19.184, 81, 100 %, 49 %, 200.24 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:39:20.247, 81, 100 %, 46 %, 196.90 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:39:21.257, 81, 100 %, 46 %, 194.05 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:39:22.269, 81, 100 %, 46 %, 198.81 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:39:23.284, 81, 100 %, 46 %, 193.70 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:39:24.293, 81, 100 %, 48 %, 201.19 W, 1125 MHz, 877 MHz, P0
2026/02/11 11:39:25.335, 82, 100 %, 53 %, 228.21 W, 1230 MHz, 877 MHz, P0
2026/02/11 11:39:26.349, 82, 100 %, 49 %, 198.81 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:39:27.362, 81, 100 %, 48 %, 209.49 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:39:28.368, 81, 100 %, 48 %, 203.92 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:39:29.377, 81, 100 %, 48 %, 195.00 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:39:30.388, 81, 100 %, 46 %, 206.30 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:39:31.390, 81, 100 %, 50 %, 200.24 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:39:32.402, 81, 100 %, 46 %, 189.89 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:39:33.419, 81, 100 %, 47 %, 206.77 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:39:34.470, 81, 100 %, 47 %, 203.92 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:39:35.482, 81, 100 %, 52 %, 210.44 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:39:36.522, 82, 100 %, 48 %, 196.43 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:39:37.534, 81, 100 %, 46 %, 199.76 W, 1117 MHz, 877 MHz, P0
2026/02/11 11:39:38.580, 81, 100 %, 47 %, 195.48 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:39:39.630, 81, 100 %, 48 %, 192.27 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:39:40.645, 81, 100 %, 46 %, 199.29 W, 1117 MHz, 877 MHz, P0
2026/02/11 11:39:41.676, 81, 100 %, 46 %, 188.46 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:39:42.703, 81, 100 %, 48 %, 199.76 W, 1117 MHz, 877 MHz, P0
2026/02/11 11:39:43.747, 81, 100 %, 46 %, 198.34 W, 1125 MHz, 877 MHz, P0
2026/02/11 11:39:44.800, 81, 100 %, 47 %, 197.38 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:39:45.820, 81, 100 %, 46 %, 187.50 W, 1117 MHz, 877 MHz, P0
2026/02/11 11:39:46.838, 80, 100 %, 45 %, 189.06 W, 1117 MHz, 877 MHz, P0
2026/02/11 11:39:47.858, 80, 100 %, 47 %, 194.52 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:39:48.905, 81, 100 %, 45 %, 187.98 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:39:49.926, 81, 100 %, 47 %, 201.54 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:39:50.941, 81, 100 %, 48 %, 200.24 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:39:51.945, 81, 100 %, 46 %, 202.01 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:39:52.951, 81, 100 %, 47 %, 200.72 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:39:53.955, 81, 100 %, 47 %, 196.08 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:39:54.958, 81, 100 %, 50 %, 205.34 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:39:55.965, 81, 100 %, 47 %, 193.09 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:39:56.968, 81, 100 %, 50 %, 182.86 W, 1125 MHz, 877 MHz, P0
2026/02/11 11:39:57.988, 81, 100 %, 48 %, 202.15 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:39:59.005, 81, 100 %, 46 %, 198.81 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:40:00.010, 81, 100 %, 47 %, 201.54 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:40:01.015, 81, 100 %, 48 %, 199.76 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:40:02.020, 81, 100 %, 47 %, 202.49 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:40:03.025, 81, 100 %, 48 %, 200.72 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:40:04.030, 81, 100 %, 48 %, 187.98 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:40:05.034, 81, 100 %, 49 %, 203.44 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:40:06.044, 81, 100 %, 47 %, 194.52 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:40:07.059, 81, 100 %, 47 %, 200.72 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:40:08.065, 81, 100 %, 48 %, 204.39 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:40:09.082, 81, 100 %, 50 %, 199.29 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:40:10.097, 81, 100 %, 46 %, 202.49 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:40:11.099, 81, 100 %, 48 %, 201.19 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:40:12.112, 81, 100 %, 47 %, 193.70 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:40:13.126, 81, 100 %, 47 %, 204.39 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:40:14.135, 81, 100 %, 47 %, 197.86 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:40:15.154, 81, 100 %, 47 %, 194.52 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:40:16.164, 81, 100 %, 48 %, 201.54 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:40:17.171, 81, 100 %, 49 %, 194.05 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:40:18.188, 80, 100 %, 53 %, 164.36 W, 1290 MHz, 877 MHz, P0
2026/02/11 11:40:19.190, 80, 100 %, 44 %, 190.36 W, 1117 MHz, 877 MHz, P0
2026/02/11 11:40:20.208, 80, 100 %, 46 %, 193.57 W, 1110 MHz, 877 MHz, P0
2026/02/11 11:40:21.218, 80, 100 %, 47 %, 193.70 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:40:22.232, 81, 100 %, 48 %, 202.49 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:40:23.237, 81, 100 %, 48 %, 195.95 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:40:24.255, 81, 100 %, 46 %, 187.02 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:40:25.275, 81, 100 %, 50 %, 209.01 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:40:26.285, 81, 100 %, 47 %, 195.48 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:40:27.310, 81, 100 %, 49 %, 200.24 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:40:28.326, 81, 100 %, 48 %, 207.25 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:40:29.329, 82, 100 %, 52 %, 230.59 W, 1245 MHz, 877 MHz, P0
2026/02/11 11:40:30.340, 82, 100 %, 51 %, 217.43 W, 1200 MHz, 877 MHz, P0
2026/02/11 11:40:31.347, 82, 100 %, 47 %, 180.95 W, 1117 MHz, 877 MHz, P0
2026/02/11 11:40:32.365, 81, 100 %, 46 %, 194.52 W, 1125 MHz, 877 MHz, P0
2026/02/11 11:40:33.367, 81, 100 %, 44 %, 196.43 W, 1110 MHz, 877 MHz, P0
2026/02/11 11:40:34.417, 81, 100 %, 48 %, 196.43 W, 1125 MHz, 877 MHz, P0
2026/02/11 11:40:35.430, 81, 100 %, 45 %, 194.52 W, 1117 MHz, 877 MHz, P0
2026/02/11 11:40:36.435, 81, 100 %, 47 %, 192.27 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:40:37.454, 81, 100 %, 47 %, 201.54 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:40:38.491, 81, 100 %, 47 %, 201.06 W, 1125 MHz, 877 MHz, P0
2026/02/11 11:40:39.535, 80, 100 %, 56 %, 136.55 W, 1290 MHz, 877 MHz, P0
2026/02/11 11:40:40.537, 81, 100 %, 48 %, 199.76 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:40:41.554, 81, 100 %, 47 %, 191.66 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:40:42.560, 81, 100 %, 47 %, 204.39 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:40:43.607, 81, 100 %, 47 %, 195.00 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:40:44.633, 81, 100 %, 49 %, 193.57 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:40:45.648, 81, 100 %, 47 %, 202.49 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:40:46.666, 81, 100 %, 47 %, 202.01 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:40:47.711, 81, 100 %, 47 %, 199.76 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:40:48.747, 81, 100 %, 46 %, 191.79 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:40:49.752, 81, 100 %, 45 %, 202.49 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:40:50.761, 78, 100 %, 38 %, 140.38 W, 915 MHz, 877 MHz, P0
2026/02/11 11:40:51.763, 79, 100 %, 46 %, 185.72 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:40:52.769, 80, 100 %, 49 %, 213.29 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:40:53.777, 81, 100 %, 49 %, 220.76 W, 1177 MHz, 877 MHz, P0
2026/02/11 11:40:54.787, 81, 100 %, 50 %, 210.92 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:40:55.797, 82, 100 %, 49 %, 210.44 W, 1185 MHz, 877 MHz, P0
2026/02/11 11:40:56.801, 82, 100 %, 49 %, 209.15 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:40:57.805, 82, 100 %, 49 %, 212.82 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:40:58.821, 82, 100 %, 49 %, 211.39 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:40:59.826, 82, 100 %, 48 %, 197.38 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:41:00.831, 82, 100 %, 48 %, 211.39 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:41:01.835, 82, 100 %, 49 %, 206.77 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:41:02.853, 81, 100 %, 46 %, 180.95 W, 1102 MHz, 877 MHz, P0
2026/02/11 11:41:03.881, 81, 100 %, 46 %, 185.59 W, 1125 MHz, 877 MHz, P0
2026/02/11 11:41:04.882, 81, 100 %, 46 %, 194.05 W, 1125 MHz, 877 MHz, P0
2026/02/11 11:41:05.884, 81, 100 %, 44 %, 195.00 W, 1102 MHz, 877 MHz, P0
2026/02/11 11:41:06.919, 81, 100 %, 46 %, 189.41 W, 1117 MHz, 877 MHz, P0
2026/02/11 11:41:07.925, 81, 100 %, 48 %, 191.32 W, 1110 MHz, 877 MHz, P0
2026/02/11 11:41:08.927, 81, 100 %, 44 %, 195.95 W, 1102 MHz, 877 MHz, P0
2026/02/11 11:41:09.978, 80, 100 %, 48 %, 195.48 W, 1125 MHz, 877 MHz, P0
2026/02/11 11:41:10.982, 80, 100 %, 45 %, 195.48 W, 1117 MHz, 877 MHz, P0
2026/02/11 11:41:12.000, 80, 100 %, 48 %, 197.38 W, 1117 MHz, 877 MHz, P0
2026/02/11 11:41:13.040, 80, 100 %, 46 %, 186.07 W, 1117 MHz, 877 MHz, P0
2026/02/11 11:41:14.042, 81, 100 %, 47 %, 202.96 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:41:15.045, 81, 100 %, 47 %, 195.48 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:41:16.063, 81, 100 %, 49 %, 198.34 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:41:17.105, 81, 100 %, 46 %, 202.96 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:41:18.117, 81, 100 %, 47 %, 202.49 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:41:19.129, 81, 100 %, 48 %, 194.52 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:41:20.133, 81, 100 %, 48 %, 202.49 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:41:21.141, 81, 100 %, 46 %, 193.22 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:41:22.179, 81, 100 %, 47 %, 193.22 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:41:23.190, 82, 100 %, 51 %, 229.64 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:41:24.225, 82, 100 %, 47 %, 202.96 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:41:25.254, 81, 100 %, 49 %, 203.44 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:41:26.272, 81, 100 %, 47 %, 196.90 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:41:27.290, 81, 100 %, 48 %, 200.24 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:41:28.298, 81, 100 %, 49 %, 200.72 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:41:29.304, 81, 100 %, 46 %, 201.54 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:41:30.306, 81, 100 %, 46 %, 197.86 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:41:31.320, 81, 100 %, 47 %, 185.59 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:41:32.328, 81, 100 %, 49 %, 199.76 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:41:33.342, 79, 100 %, 38 %, 139.91 W, 907 MHz, 877 MHz, P0
2026/02/11 11:41:34.354, 79, 100 %, 45 %, 189.41 W, 1087 MHz, 877 MHz, P0
2026/02/11 11:41:35.384, 81, 100 %, 51 %, 212.82 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:41:36.390, 81, 100 %, 48 %, 209.49 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:41:37.401, 81, 100 %, 48 %, 209.49 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:41:38.409, 81, 100 %, 48 %, 206.30 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:41:39.428, 82, 100 %, 48 %, 201.67 W, 1177 MHz, 877 MHz, P0
2026/02/11 11:41:40.442, 82, 100 %, 49 %, 202.96 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:41:41.453, 82, 100 %, 49 %, 210.92 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:41:42.461, 82, 100 %, 49 %, 209.15 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:41:43.472, 82, 100 %, 46 %, 194.05 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:41:44.481, 82, 100 %, 49 %, 207.25 W, 1177 MHz, 877 MHz, P0
2026/02/11 11:41:45.483, 82, 100 %, 47 %, 202.49 W, 1125 MHz, 877 MHz, P0
2026/02/11 11:41:46.521, 81, 100 %, 47 %, 201.54 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:41:47.562, 81, 100 %, 47 %, 201.06 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:41:48.576, 81, 100 %, 49 %, 195.95 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:41:49.590, 81, 100 %, 45 %, 201.54 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:41:50.636, 81, 100 %, 47 %, 200.58 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:41:51.647, 81, 100 %, 47 %, 193.57 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:41:52.685, 81, 100 %, 46 %, 187.98 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:41:53.718, 81, 100 %, 46 %, 202.96 W, 1125 MHz, 877 MHz, P0
2026/02/11 11:41:54.754, 82, 100 %, 54 %, 241.67 W, 1237 MHz, 877 MHz, P0
2026/02/11 11:41:55.763, 82, 100 %, 47 %, 198.34 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:41:56.781, 81, 100 %, 46 %, 196.90 W, 1102 MHz, 877 MHz, P0
2026/02/11 11:41:57.810, 81, 100 %, 47 %, 188.93 W, 1110 MHz, 877 MHz, P0
2026/02/11 11:41:58.811, 81, 100 %, 47 %, 193.09 W, 1110 MHz, 877 MHz, P0
2026/02/11 11:41:59.816, 81, 100 %, 45 %, 195.00 W, 1117 MHz, 877 MHz, P0
2026/02/11 11:42:00.817, 81, 100 %, 47 %, 187.02 W, 1125 MHz, 877 MHz, P0
2026/02/11 11:42:01.836, 81, 100 %, 45 %, 186.55 W, 1110 MHz, 877 MHz, P0
2026/02/11 11:42:02.866, 81, 100 %, 47 %, 188.46 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:42:03.883, 81, 100 %, 47 %, 199.29 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:42:04.891, 81, 100 %, 47 %, 195.13 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:42:05.893, 81, 100 %, 47 %, 192.62 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:42:06.910, 81, 100 %, 50 %, 203.92 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:42:07.945, 81, 100 %, 46 %, 201.67 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:42:08.947, 81, 100 %, 47 %, 202.49 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:42:09.952, 81, 100 %, 47 %, 201.06 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:42:10.956, 81, 100 %, 47 %, 193.57 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:42:11.959, 81, 100 %, 48 %, 202.49 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:42:12.966, 81, 100 %, 48 %, 193.70 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:42:13.969, 81, 100 %, 47 %, 204.87 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:42:14.997, 81, 100 %, 47 %, 198.81 W, 1147 MHz, 877 MHz, P0
2026/02/11 11:42:16.000, 82, 100 %, 53 %, 224.56 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:42:17.004, 82, 100 %, 47 %, 194.05 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:42:18.013, 81, 100 %, 47 %, 200.72 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:42:19.015, 81, 100 %, 48 %, 191.32 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:42:20.020, 81, 100 %, 48 %, 197.86 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:42:21.024, 81, 100 %, 46 %, 193.22 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:42:22.031, 81, 100 %, 46 %, 200.58 W, 1140 MHz, 877 MHz, P0
2026/02/11 11:42:23.034, 81, 100 %, 47 %, 198.81 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:42:24.042, 81, 100 %, 48 %, 195.95 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:42:25.044, 81, 100 %, 47 %, 202.49 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:42:26.062, 81, 100 %, 48 %, 197.86 W, 1132 MHz, 877 MHz, P0
2026/02/11 11:42:27.078, 79, 100 %, 39 %, 136.65 W, 945 MHz, 877 MHz, P0
